Geography,Total Civilian Noninstitutionalized Population,Avg-Median age in years,Total Households Estimate,Prop Family households,Prop Nonfamily households,Average household size,Average family size,Gps living with gcs under 18 years,Prop  Gps caring for gc over 18,Number of Veterans,Veterans as Prop of population,Unemployed veterans Prop of labour force,Hispani or Latino,Hispanic/Latino Prop,White,White Prop,Black Estimate,Black Prop,Native American/Alaskan,Native American/Alaskan Prop,Asian,Asian Prop,Native Hawaiian/Pacific Islander,Native Hawaiian/Pacific Islander Prop,"Other Race Only, Not Hispanic/Latino","Other Race Only, Not Hispanic/Latino Prop","Two or more races alone, Not Hispanic or Latino Estimate","Two or more races alone, Not Hispanic or Latino Prop",Prop Native Born,Prop Foreign born,Prop of Foreign Born who are Naturalized U.S. citizen,Pop 5 years +,Pop 5 years + foreign language at home,Pop 5 years + w/ poor English
Fontana city,211368,29.3,52767,87.3,12.7,4,4.25,8913,20.4,4298,2.9,6.2,144376,68.2,31497,14.9,19507,9.2,335,0.2,9581,4.5,155,0.1,1061,0.5,5308,2.5,77.8,22.2,46.3,196622,54.1,16.1
Hesperia city,94708,31.7,25398,82.6,17.4,3.73,4.11,N,N,3888,6.1,9.1,53789,56.7,33884,35.7,3632,3.8,0,0,2502,2.6,0,0,143,0.2,917,1,85.3,14.7,50,88146,29.7,10
Ontario city,175247,33.2,50572,80.1,19.9,3.46,3.81,7359,18.3,5317,4.1,1.6,119439,67.9,30461,17.3,8500,4.8,565,0.3,11594,6.6,167,0.1,1234,0.7,3890,2.2,73.1,26.9,43.4,163653,56,19.6
Rancho Cucamonga city,174509,34.6,52731,79.2,20.8,3.3,3.68,6979,32.8,6434,4.9,7.2,67639,38.1,61535,34.7,14571,8.2,821,0.5,27528,15.5,122,0.1,197,0.1,5033,2.8,79.5,20.5,58.9,162348,30.7,10.8
Redlands city,70942,39.1,26264,61.9,38.1,2.62,3.3,N,N,4859,8.5,0,21681,30.3,32542,45.5,7518,10.5,71,0.1,7890,11,0,0,0,0,1860,2.6,84.2,15.8,59,67917,26,8.7
Rialto city,103332,31.7,26699,82.6,17.4,3.86,4.21,N,N,3578,4.7,4.3,76559,73.9,8953,8.6,14127,13.6,79,0.1,2729,2.6,0,0,0,0,1108,1.1,74,26,40.3,96309,56.3,21.4
San Bernardino city,209942,31.7,60714,76.3,23.7,3.38,3.87,8608,26.6,6308,4,0,140482,64.7,33954,15.6,26137,12,655,0.3,7239,3.3,169,0.1,92,0,8255,3.8,78.9,21.1,37.6,201506,49.3,17.5
Upland city,76615,38.1,25582,74.9,25.1,2.98,3.4,N,N,2663,4.4,21.2,39840,51.8,26269,34.1,2527,3.3,0,0,6433,8.4,0,0,35,0,1881,2.4,83.8,16.2,61.7,72170,36.8,9.7
Victorville city,118407,33.3,35088,72.2,27.8,3.38,4.02,6227,33.8,5671,6.5,6.1,71743,58.6,26614,21.7,12210,10,44,0,5869,4.8,190,0.2,42,0,5753,4.7,79.1,20.9,41.1,111958,43.1,15.2
San Diego County,3239196,35.8,1126419,67.3,32.7,2.88,3.44,86136,26.4,210695,8.3,4.5,1129970,33.9,1512229,45.3,153740,4.6,12699,0.4,394340,11.8,12808,0.4,8019,0.2,113880,3.4,76.7,23.3,55,3125554,38,13.3
Carlsbad city,114155,45.4,45588,68.6,31.4,2.52,3,N,N,5883,6.7,2.8,16571,14.4,83928,72.8,900,0.8,190,0.2,9781,8.5,317,0.3,280,0.2,3359,2.9,86.4,13.6,68.5,108897,18.5,4.8
Chula Vista city,265126,35.5,80417,80.3,19.7,3.34,3.69,10293,21.6,15810,8,5.4,161543,59.7,46145,17.1,15078,5.6,144,0.1,36273,13.4,2010,0.7,1086,0.4,8171,3,69.4,30.6,54.9,252959,59.1,21.1
El Cajon city,102474,32.8,33587,69.5,30.5,3.02,3.7,N,N,6049,7.9,15.8,28935,27.8,60156,57.9,5537,5.3,84,0.1,4629,4.5,173,0.2,121,0.1,4271,4.1,71.1,28.9,46,95091,44.4,20.7
Escondido city,150965,34.2,46250,71.6,28.4,3.23,3.74,N,N,6634,5.8,5,80502,53,55900,36.8,2594,1.7,67,0,7467,4.9,157,0.1,47,0,5245,3.5,73.7,26.3,37.7,140146,47.9,18.4
Oceanside city,173499,39,61138,69.2,30.8,2.87,3.35,4014,31,16234,11.8,2.4,63729,36.2,82615,46.9,8641,4.9,1093,0.6,13731,7.8,675,0.4,138,0.1,5586,3.2,78.8,21.2,55.3,166537,33.6,12.6
San Diego city,1383566,34.5,504208,60.2,39.8,2.74,3.4,31480,28.3,82562,7.5,5.7,429174,30.2,604167,42.6,82710,5.8,4009,0.3,237487,16.7,5949,0.4,5107,0.4,50885,3.6,74.1,25.9,55.4,1334830,40.6,14
San Marcos city,95813,35.3,29611,73.5,26.5,3.22,3.64,N,N,4875,6.9,3.9,43283,45,39438,41,1255,1.3,694,0.7,8041,8.4,61,0.1,123,0.1,3293,3.4,73.6,26.4,50.9,89217,41.8,17.6
Vista city,99512,34.4,31618,74.2,25.8,3.15,3.63,N,N,6710,8.9,1.2,53215,52.4,40577,40,2704,2.7,97,0.1,3452,3.4,94,0.1,75,0.1,1343,1.3,73.7,26.3,57,94361,42.3,15.7
San Francisco County,880097,38.3,360323,47.6,52.4,2.4,3.17,N,N,21452,2.8,3.8,134705,15.2,355706,40.2,44460,5,1617,0.2,303501,34.3,3158,0.4,5267,0.6,35949,4.1,64.4,35.6,63.3,844517,44.3,19.5
San Francisco city,880097,38.3,360323,47.6,52.4,2.4,3.17,N,N,21452,2.8,3.8,134705,15.2,355706,40.2,44460,5,1617,0.2,303501,34.3,3158,0.4,5267,0.6,35949,4.1,64.4,35.6,63.3,844517,44.3,19.5
San Joaquin County,735416,34.3,226624,73.4,26.6,3.21,3.83,27684,21.1,27120,5,3.6,310067,41.6,235440,31.6,50693,6.8,1337,0.2,111968,15,3987,0.5,1531,0.2,30401,4.1,77,23,52.1,692749,41.5,16.4
Lodi city,65388,32.4,22454,70.3,29.7,2.9,3.56,N,N,2889,6.3,3.6,22455,34.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,82.5,17.5,47.2,59628,33.3,13.1
Manteca city,78944,36.5,24573,74.1,25.9,3.2,3.71,N,N,3333,5.6,3.3,33812,42.7,30822,38.9,2169,2.7,359,0.5,8414,10.6,234,0.3,159,0.2,3306,4.2,84.9,15.1,62,73346,29.4,9.4
Stockton city,308406,32.9,91392,72.2,27.8,3.33,4,12998,22.7,9482,4.2,4.2,133734,43.1,62239,20,36826,11.9,417,0.1,63342,20.4,1235,0.4,1128,0.4,11555,3.7,74.2,25.8,52,288152,48.8,20.8
Tracy city,90685,34.4,25830,79.9,20.1,3.51,4.03,N,N,2750,4.2,0,34695,38.2,29304,32.2,3630,4,9,0,16509,18.2,1758,1.9,78,0.1,4903,5.4,73,27,61.8,85713,42.9,14.8
San Luis Obispo County,276654,39.6,104544,61.8,38.2,2.55,3.07,N,N,17797,7.7,2.4,64128,22.6,194713,68.7,4419,1.6,1809,0.6,10108,3.6,254,0.1,121,0,7853,2.8,90.2,9.8,53.9,270314,17.6,5.4
San Mateo County,767094,39.9,264185,69.3,30.7,2.88,3.4,17350,16.8,23855,3.9,5.9,188954,24.5,300727,39,17251,2.2,1365,0.2,217702,28.2,10821,1.4,2171,0.3,32419,4.2,64.8,35.2,58,728279,46.6,17.8
Daly City city,106507,37.9,29162,74.2,25.8,3.64,4.06,N,N,2864,3.3,13.1,28740,26.8,10097,9.4,3595,3.4,393,0.4,60310,56.3,263,0.2,41,0,3652,3.4,48.3,51.7,65.9,102044,68.5,28.9
Redwood City city,85441,38.4,32344,64.6,35.4,2.62,3.13,N,N,3066,4.3,1,26359,30.4,41183,47.5,2201,2.5,13,0,12529,14.5,334,0.4,630,0.7,3434,4,64.8,35.2,50.7,81263,45.4,18.1
San Mateo city,104394,38.7,39660,63,37,2.6,3.24,N,N,2265,2.8,0,26777,25.6,43186,41.2,1506,1.4,0,0,24496,23.4,3526,3.4,473,0.5,4769,4.6,67.3,32.7,51.2,97742,44.4,18.9
South San Francisco city,67378,40.7,20939,75.3,24.7,3.18,3.67,N,N,2312,4.3,0,21045,31.2,11492,17,1436,2.1,23,0,30274,44.9,693,1,0,0,2467,3.7,58.5,41.5,73.4,63484,59.5,22.9
Santa Barbara County,441604,33.8,147466,62.5,37.5,2.9,3.49,11002,37.5,21571,6.2,1.2,204559,45.6,197611,44.1,7136,1.6,1264,0.3,23819,5.3,262,0.1,1219,0.3,12280,2.7,77.5,22.5,35.1,420088,40.4,16.7
